caseID,Code,Section,Gender,Injuiry,co-accused,Surety of Bond,Intention,Eyewitness,History,Law of Parity,Nature of Alligations,Peroid of custody,Differences b/w chargesheet and trials,Mental codition of accused,Accused presented within 24 hrs,Proof with accused,Delay in launching FIR/producing chargesheet,Output
109,"IPC, CPC","307,34, 438",FEMALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
110,"IPC, CPC","307,323,148,149,439",MALE,0,0,0,1,0,0,0,SERIOUS,6,0,STABLE,1,0,0,Granted
111,"IPC,CPC","307,438",FEMALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,0,0,Granted
112,"IPC,CPC","307,438",FEMALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
113,"IPC,CPC","302,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
114,"IPC,CPC","307,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,1,STABLE,1,0,0,Granted
115,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
117,"IPC,CPC","307,439",MALE,1,0,1,1,1,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
118,iPC.CPC,"302,438",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
119,"IPC,CPC","302,439",MALE,0,0,1,1,0,0,1,SERIOUS,0,0,STABLE,1,0,0,Granted
120,"IPC,CPC","307,439",MALE,1,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
121,"IPC,CPC","302,497",MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Refused
122,"iPC,CPC","307,302,439",MALE,0,0,1,1,0,0,1,SERIOUS,0,0,STABLE,1,1,0,Granted
123,"IPC,CPC","307,439,302",MALE,0,0,1,1,0,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Granted
124,"IPC,CPC","302,439",MALE,1,0,1,1,0,0,1,VERY SERIOUS,0,0,STABLE,1,0,0,Granted
125,"IPC,CPC","302,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
129,"IPC,CPC","302,439",MALE,0,0,1,1,0,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Granted
130,"IPC,CPC","307,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
132,"IPC,CPC","302,439",MALE,1,0,1,1,0,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Granted
136,CPC,439,FEMALE,1,1,1,1,0,0,1,VERY SERIOUS,0,0,STABLE,1,0,0,Granted
137,"IPC,CPC","302,438",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
139,"IPC,CPC","321,438",MALE,1,0,1,1,0,1,0,VERY SERIOUS,42,0,STABLE,1,0,0,Granted
140,"IPC,CPC","307,438",MALE,0,0,1,1,0,0,1,SERIOUS,0,0,STABLE,1,0,0,Granted
142,"IPC,CPC","307,439",FEMALE,0,0,1,1,0,0,0,SERIOUS,6,0,STABLE,1,0,0,Granted
143,"IPC,CPC","307,439",MALE,0,0,1,0,0,0,1,SERIOUS,0,0,STABLE,1,1,0,Granted
144,"IPC,CPC","307,439",MALE,1,0,1,1,0,0,0,SERIOUS,2,0,STABLE,1,0,0,Granted
145,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,1,SERIOUS,0,0,STABLE,1,0,0,Granted
146,"IPC,CPC","307,438",MALE,0,0,1,0,0,0,1,SERIOUS,0,0,STABLE,1,1,0,Granted
149,"IPC,CPC","307,439",MALE,1,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
150,"IPC,CPC","302,439",MALE,0,0,0,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,0,0,Granted
151,CPC,"438,439",FEMALE,0,0,0,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
152,"IPC,CPC","438,307",MALE,0,0,1,1,0,0,0,NOT SERIOUS,0,0,STABLE,1,0,0,Granted
153,"IPC,CPC","302,439",MALE,1,0,0,1,1,0,0,VERY SERIOUS,41,0,STABLE,1,0,0,Refused
154,"IPC,CPC","307,439",MALE,0,0,1,0,1,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
155,"IPC,CPC","304,498,439",MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Refused
156,"IPC,CPC","307,438",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
159,"IPC,CPC","302,439",MALE,0,0,1,0,0,0,1,SERIOUS,8,1,STABLE,1,0,0,Granted
160,"IPC,CPC","307,439",MALE,1,0,1,1,0,0,0,SERIOUS,8,0,STABLE,1,0,0,Granted
