caseID,Code,Section,Gender,Injuiry,co-accused,Surety of Bond,Intention,Eyewitness,History,Law of Parity,Nature of Alligations,Period of custody,Differences b/w chargesheet and trials,Mental codition of accused,Loophole of investigation,Accused presented within 24 hrs,Proof with accused,Delay in launching FIR/producing chargesheet,logical output,Output
56,"IPC,CPC","302,109,34,439",FEMALE,0,0,1,1,1,0,0,SERIOUS,1,0,STABLE,0,1,0,0,1,Granted
58,"IPC,CPC","302,392,397,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
61,CPC,439,MALE,0,0,0,1,0,0,0,VERY SERIOUS,0,1,STABLE,0,1,0,0,0,Refused
62,"IPC,CPC","302,438",MALE,0,0,0,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
63,cpc,439,MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
64,"IPC,CPC","302,304,439",FEMALE,1,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,0,0,Granted
66,"IPC,CPC","302,34,109,497",MALE,1,0,0,1,0,1,0,VERY SERIOUS,1,0,STABLE,0,1,0,0,0,Refused
67,CPC,439,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
68,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
69,"IPC,CPC","307,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
70,"IPC,CPC","302,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
71,IPC,302,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
72,"IPC,CPC","302,439",FEMALE,1,0,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
74,"ipc,cpc","302,439",MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
75,"ipc,cpc","307,438",MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
77,"ipc,cpc","302,439",MALE,0,0,0,1,0,1,0,SERIOUS,15,1,STABLE,0,1,0,0,0,Refused
78,"ipc,cpc","302,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,1,STABLE,0,1,0,0,0,Refused
79,"ipc,cpc","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
80,"ipc,cpc","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
81,"IPC,CPC","302,439",MALE,1,0,0,1,1,0,0,VERY SERIOUS,18,0,STABLE,0,1,0,0,0,Refused
82,"IPC,CPC","302,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
86,"IPC,CPC","307,498",MALE,0,0,1,1,0,0,0,VERY SERIOUS,4,0,STABLE,1,1,0,0,1,Granted
88,CPC,439,MALE,0,0,0,1,0,1,0,SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
89,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,3,0,STABLE,0,1,1,0,1,Granted
90,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
91,"IPC,CPC","307,438",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
92,"IPC,CPC","307,439",MALE,1,0,1,1,0,1,0,VERY SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
93,CPC,439,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,1,0,0,Refused
94,"IPC,CPC","319,438",FEMALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
95,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
97,CPC,438,MALE,0,1,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
98,"IPC,CPC","307,438",FEMALE,0,0,1,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,1,1,1,Granted
99,"IPC,CPC","307,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
100,"IPC,CPC","302,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
101,CPC,439,MALE,0,0,1,0,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
102,"IPC, CPC","307,34,438",MALE,0,1,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
103,"IPC, CPC","307, 439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
104,CPC,439,FEMALE,0,0,0,1,0,0,1,VERY SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
105,"IPC, CPC","307, 506, 438",FEMALE,0,0,0,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
106,"IPC, CPC","307, 439",MALE,0,0,0,0,0,0,0,SERIOUS,15,0,STABLE,0,1,0,0,1,Granted
107,"IPC, CPC","307, 439",MALE,1,0,0,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
108,"IPC, CPC","307, 438",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
109,"IPC, CPC","307,34, 438",FEMALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
110,"IPC, CPC","307,323,148,149,439",MALE,0,0,0,1,0,0,0,SERIOUS,6,0,STABLE,0,1,0,0,1,Granted
111,"IPC,CPC","307,438",FEMALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
112,"IPC,CPC","307,438",FEMALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
113,"IPC,CPC","302,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
114,"IPC,CPC","307,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,1,STABLE,0,1,0,0,1,Granted
115,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
117,"IPC,CPC","307,439",MALE,1,0,1,1,1,0,0,SERIOUS,0,0,STABLE,1,1,0,0,0,Granted
118,iPC.CPC,"302,438",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
119,"IPC,CPC","302,439",MALE,0,0,1,1,0,0,1,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
120,"IPC,CPC","307,439",MALE,1,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
121,"IPC,CPC","302,497",MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
122,"iPC,CPC","307,302,439",MALE,0,0,1,1,0,0,1,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
123,"IPC,CPC","307,439,302",MALE,0,0,1,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
124,"IPC,CPC","302,439",MALE,1,0,1,1,0,0,1,VERY SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
125,"IPC,CPC","302,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
129,"IPC,CPC","302,439",MALE,0,0,1,1,0,0,0,VERY SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
130,"IPC,CPC","307,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
132,"IPC,CPC","302,439",MALE,1,0,1,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
136,CPC,439,FEMALE,1,1,1,1,0,0,1,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
137,"IPC,CPC","302,438",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
139,"IPC,CPC","321,438",MALE,1,0,1,1,0,1,0,VERY SERIOUS,42,0,STABLE,0,1,0,0,0,Granted
140,"IPC,CPC","307,438",MALE,0,0,1,1,0,0,1,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
142,"IPC,CPC","307,439",FEMALE,0,0,1,1,0,0,0,SERIOUS,6,0,STABLE,1,1,0,0,1,Granted
143,"IPC,CPC","307,439",MALE,0,0,1,0,0,0,1,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
144,"IPC,CPC","307,439",MALE,1,0,1,1,0,0,0,SERIOUS,2,0,STABLE,0,1,0,0,1,Granted
145,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,1,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
146,"IPC,CPC","307,438",MALE,0,0,1,0,0,0,1,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
149,"IPC,CPC","307,439",MALE,1,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
150,"IPC,CPC","302,439",MALE,0,0,0,0,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
151,CPC,"438,439",FEMALE,0,0,0,0,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
152,"IPC,CPC","438,307",MALE,0,0,1,1,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
153,"IPC,CPC","302,439",MALE,1,0,0,1,1,0,0,VERY SERIOUS,41,0,STABLE,0,1,0,0,0,Refused
154,"IPC,CPC","307,439",MALE,0,0,1,0,1,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
155,"IPC,CPC","304,498,439",MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
156,"IPC,CPC","307,438",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
159,"IPC,CPC","302,439",MALE,0,0,1,0,0,0,1,SERIOUS,8,1,STABLE,1,1,0,0,1,Granted
160,"IPC,CPC","307,439",MALE,1,0,1,1,0,0,0,SERIOUS,8,0,STABLE,1,1,0,0,1,Granted
161,"IPC,CPC","302,304,439",MALE,1,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
162,"IPC,CPC","307,439",MALE,1,0,1,1,0,1,1,SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
163,"IPC,CPC","302,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
164,"IPC,CPC","302,439",FEMALE,0,1,1,0,0,0,0,NOT SERIOUS,9,1,STABLE,1,1,0,0,1,Granted
165,"IPC,CPC","302,439",FEMALE,0,1,1,1,0,0,0,SERIOUS,0,1,STABLE,0,0,1,0,1,Granted
166,"IPC,CPC","302,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,1,STABLE,1,0,0,0,1,Granted
167,"IPC,CPC","302,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,0,0,0,0,1,Granted
168,"IPC,CPC","302,439",MALE,0,1,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,0,0,0,1,Granted
169,"IPC,CPC","302,439",MALE,0,0,1,1,0,0,0,SERIOUS,12,0,STABLE,0,1,0,0,1,Granted
170,"IPC,CPC","302, 439",MALE,0,1,0,1,1,1,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
171,"IPC,CPC","302,439",MALE,0,1,1,1,0,0,0,NOT SERIOUS,8,0,STABLE,0,1,0,0,1,Granted
172,"IPC,CPC","302,439",MALE,0,0,0,0,0,0,0,SERIOUS,0,1,STABLE,1,1,0,0,1,Granted
173,"IPC,CPC","302,431",MALE,1,0,0,1,0,0,1,SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
174,CPC,"437,439,482",MALE,0,1,1,1,0,0,0,VERY SERIOUS,0,0,UNSTABLE,0,1,0,0,0,Refused
174.1,CPC,"437,439,482",MALE,0,1,1,1,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
175,"IPC,CPC","302,439",MALE,1,0,0,1,0,0,0,SERIOUS,0,1,STABLE,1,1,0,0,0,Granted
177,"IPC,CPC","302,439",MALE,0,0,0,0,0,0,0,NOT SERIOUS,0,1,STABLE,0,1,1,0,1,Granted
178,"IPC,CPC","302,438",MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,1,STABLE,0,1,1,0,1,Granted
182,"IPC,CPC","302,439",MALE,0,1,1,1,0,0,0,VERY SERIOUS,12,0,STABLE,0,1,1,0,1,Granted
183,"IPC,CPC","302,439",MALE,1,1,1,0,0,0,1,SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
184,"IPC,CPC","307,438",MALE,0,0,0,1,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,0,0,Granted
185,"IPC,CPC","307,439",MALE,1,0,1,1,0,0,0,VERY SERIOUS,4,0,STABLE,0,1,0,0,0,Granted
188,"IPC,CPC","307,438",MALE,1,0,0,1,0,1,0,VERY SERIOUS,0,0,UNSTABLE,0,1,0,0,0,Refused
189,"IPC,CPC","302,439",MALE,1,0,1,0,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
192,CPC,439,MALE,1,0,1,1,0,0,0,VERY SERIOUS,8,0,STABLE,0,1,0,0,0,Granted
193,CPC,167,MALE,0,0,0,1,0,0,0,SERIOUS,0,1,STABLE,1,1,1,0,0,Granted
194,CPC,439,MALE,1,1,1,1,0,0,1,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
195,"IPC,CPC","307,438",MALE,0,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,1,1,1,0,0,Granted
197,"IPC,CPC","302,439",MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,1,STABLE,0,1,1,0,1,Granted
199,"IPC,CPC","307,439",MALE,1,0,1,1,0,0,0,VERY SERIOUS,10,0,STABLE,0,1,0,0,0,Granted
200,CPC,439,MALE,1,1,0,0,0,0,1,SERIOUS,0,0,STABLE,1,1,0,0,0,Granted
202,"IPC,CPC","302,308,438",MALE,1,0,1,0,0,0,0,NOT SERIOUS,0,1,STABLE,0,1,1,0,1,Granted
205,CPC,439,MALE,1,1,1,1,0,0,1,SERIOUS,0,1,STABLE,1,1,1,0,1,Granted
207,"IPC,CPC","323,307",MALE,1,1,0,1,0,0,1,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
209,"IPC,CPC","307,438",MALE,0,1,0,1,0,0,1,SERIOUS,6,0,STABLE,1,1,0,0,1,Granted
211,"IPC,CPC","307,439",MALE,1,0,0,1,0,0,0,VERY SERIOUS,4,0,STABLE,0,1,0,0,0,Refused
214,"IPC,CPC","307,349",MALE,1,0,0,1,0,0,1,SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
215,"IPC,CPC","307,349",MALE,0,0,0,1,0,0,1,SERIOUS,0,1,STABLE,0,1,0,0,1,Granted
216,"IPC,CPC","307,349",MALE,0,0,1,1,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
218,"CPC,IPC","438,307",FEMALE,0,1,0,0,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
219,"IPC,CPC",306,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,1,1,0,0,0,Granted
220,"IPC,CPC","307,439",MALE,0,0,0,1,0,0,0,SERIOUS,10,1,STABLE,0,1,0,0,1,Granted
221,"IPC,CPC","302,439",MALE,1,0,1,1,0,0,0,SERIOUS,16,0,STABLE,1,1,0,0,0,Granted
222,"IPC,CPC","302,349",FEMALE,1,0,1,0,0,0,0,NOT SERIOUS,0,1,STABLE,0,1,1,0,1,Granted
229,"IPC,CPC","304,439",MALE,1,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
230,CPC,439,FEMALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
233,CPC,439,MALE,0,1,1,1,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
235,CPC,438,FEMALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
238,"IPC,CPC","307,439",MALE,0,0,0,1,0,0,0,SERIOUS,0,0,STABLE,1,1,1,0,1,Granted
239,"IPC,CPC","307,438",MALE,0,0,1,1,0,0,0,NOT SERIOUS,5,0,STABLE,1,1,0,0,1,Granted
240,"IPC,CPC","307,439",MALE,0,1,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
241,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
242,"IPC,CPC","302,439",MALE,1,0,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
248,"IPC,CPC","302,439",MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
249,"IPC,CPC","307,439",FEMALE,1,0,1,1,0,0,0,VERY SERIOUS,0,1,STABLE,0,1,1,0,1,Granted
252,CPC,439,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,2,0,0,Refused
256,"IPC,CPC","307,439",MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
257,CPC,437,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,UNSTABLE,0,1,0,0,0,Refused
258,"IPC,CPC","307,438",MALE,0,0,1,0,0,0,0,NOT SERIOUS,4,0,STABLE,1,1,0,0,1,Granted
259,CPC,439,MALE,1,0,0,1,1,0,0,VERY SERIOUS,6,0,STABLE,0,1,0,0,0,Refused
263,"IPC,CPC","302,439",FEMALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
264,"IPC,CPC","302,439",MALE,0,1,1,1,0,0,0,NOT SERIOUS,15,0,STABLE,0,1,0,0,1,Granted
267,CPC,439,MALE,0,1,1,1,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
269,"IPC,CPC","307,439",MALE,1,0,1,1,0,0,0,VERY SERIOUS,6,0,STABLE,0,1,0,0,0,Granted
274,"IPC,CPC","340,439",MALE,1,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
276,,,MALE,1,0,1,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
277,CPC,439,MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
278,"IPC,CPC","307,478",MALE,1,0,0,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
280,"IPC,CPC","302,438",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
281,"IPC,CPC","302,433",MALE,1,0,1,1,0,1,0,VERY SERIOUS,111,0,STABLE,0,1,0,0,0,Granted
282,CPC,439,MALE,1,1,1,0,0,1,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
284,CPC,439,MALE,1,0,0,1,1,0,0,VERY SERIOUS,24,0,STABLE,0,1,0,0,0,Refused
285,CPC,439,FEMALE,1,0,1,0,1,0,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
287,CPC,438,FEMALE,0,1,1,0,0,0,1,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
288,IPC,"466,468",MALE,0,1,1,0,0,0,1,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
289,"IPC,CPC","302,364,439",MALE,1,0,0,1,0,1,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
292,CPC,439,MALE,1,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,0,1,Granted
295,"IPC,CPC","302,307,374,319",MALE,0,1,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
296,CPC,439,MALE,0,0,0,1,1,0,0,SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
297,CPC,439,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
298,IPC,302,MALE,0,1,1,0,1,0,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
300,CPC,390,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
301,CPC,439,MALE,1,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
302,"IPC,CPC","302,439",MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
303,IPC,"307,332,256,186",MALE,0,1,0,0,0,0,0,NOT SERIOUS,0,1,STABLE,0,1,0,0,1,Granted
305,CPC,439,MALE,1,0,1,1,0,1,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
306,"IPC,CPC","307,323,498",MALE,1,1,1,0,0,0,1,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
308,IPC,"302,143,147",MALE,1,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,0,0,Granted
309,IPC.CPC,"307,506,339",MALE,1,0,1,0,0,0,0,NOT SERIOUS,1,0,STABLE,0,1,0,0,1,Granted
310,,,MALE,1,0,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
313,,,MALE,1,0,0,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
314,"IPC,CPC","307,438",MALE,1,1,1,1,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
315,CPC,439,MALE,1,0,0,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
317,CPC,439,MALE,0,1,1,1,0,0,0,SERIOUS,5,0,STABLE,0,1,1,0,1,Granted
318,"IPC,CPC","302,376,439",MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
319,CPC,439,MALE,1,0,1,1,0,1,0,SERIOUS,0,0,STABLE,1,1,0,0,0,Granted
321,CPC,439,MALE,0,0,1,1,0,1,0,SERIOUS,12,0,STABLE,1,1,0,0,0,Granted
322,CPC,439,MALE,0,1,1,0,0,0,1,NOT SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
