caseID,Code,Section,Gender,Injuiry,co-accused,Surety of Bond,Intention,Eyewitness,History,Law of Parity,Nature of Alligations,Period of custody,Differences b/w chargesheet and trials,Mental codition of accused,Loophole of investigation,Accused presented within 24 hrs,Proof with accused,Delay in launching FIR/producing chargesheet,logical output,Output
174,CPC,"437,439,482",MALE,0,1,1,1,0,0,0,VERY SERIOUS,0,0,UNSTABLE,0,1,0,0,0,Refused
174.1,CPC,"437,439,482",MALE,0,1,1,1,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
188,"IPC,CPC","307,438",MALE,1,0,0,1,0,1,0,VERY SERIOUS,0,0,UNSTABLE,0,1,0,0,0,Refused
189,"IPC,CPC","302,439",MALE,1,0,1,0,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
211,"IPC,CPC","307,439",MALE,1,0,0,1,0,0,0,VERY SERIOUS,4,0,STABLE,0,1,0,0,0,Refused
229,"IPC,CPC","304,439",MALE,1,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
230,CPC,439,FEMALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
233,CPC,439,MALE,0,1,1,1,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
235,CPC,438,FEMALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
239,"IPC,CPC","307,438",MALE,0,0,1,1,0,0,0,NOT SERIOUS,5,0,STABLE,1,1,0,0,1,Granted
240,"IPC,CPC","307,439",MALE,0,1,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
241,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
242,"IPC,CPC","302,439",MALE,1,0,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
248,"IPC,CPC","302,439",MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
252,CPC,439,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,2,0,0,Refused
257,CPC,437,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,UNSTABLE,0,1,0,0,0,Refused
258,"IPC,CPC","307,438",MALE,0,0,1,0,0,0,0,NOT SERIOUS,4,0,STABLE,1,1,0,0,1,Granted
259,CPC,439,MALE,1,0,0,1,1,0,0,VERY SERIOUS,6,0,STABLE,0,1,0,0,0,Refused
277,CPC,439,MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
278,"IPC,CPC","307,478",MALE,1,0,0,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
282,CPC,439,MALE,1,1,1,0,0,1,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
284,CPC,439,MALE,1,0,0,1,1,0,0,VERY SERIOUS,24,0,STABLE,0,1,0,0,0,Refused
288,IPC,"466,468",MALE,0,1,1,0,0,0,1,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
289,"IPC,CPC","302,364,439",MALE,1,0,0,1,0,1,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
292,CPC,439,MALE,1,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,0,1,Granted
295,"IPC,CPC","302,307,374,319",MALE,0,1,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
296,CPC,439,MALE,0,0,0,1,1,0,0,SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
297,CPC,439,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
298,IPC,302,MALE,0,1,1,0,1,0,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
300,CPC,390,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
315,CPC,439,MALE,1,0,0,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
317,CPC,439,MALE,0,1,1,1,0,0,0,SERIOUS,5,0,STABLE,0,1,1,0,1,Granted
322,CPC,439,MALE,0,1,1,0,0,0,1,NOT SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
323,"IPC,CPC","307,439",MALE,1,0,0,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
324,"IPC,CPC","307,438",MALE,1,1,0,1,0,1,0,SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
325,CPC,439,MALE,0,1,1,0,0,0,1,SERIOUS,13,0,STABLE,1,1,0,0,1,Granted
